term,coefficient_baseline,std_error_baseline,t_stat_baseline,p_value_baseline,coefficient_variant,std_error_variant,t_stat_variant,p_value_variant
fe_date_2019-01-31,1.4551231524413317,0.2875396289486042,5.060600369284838,5.585907632519647e-07,1.4551231524413317,0.2875396289486042,5.060600369284838,5.585907632519647e-07
fe_date_2019-02-28,1.1865977325287167,0.2913663664545436,4.072528160911939,5.2833491739332956e-05,1.1865977325287167,0.2913663664545436,4.072528160911939,5.2833491739332956e-05
fe_date_2019-03-31,1.6334409487845785,0.29078401797425085,5.617368382774121,2.985757606400422e-08,1.6334409487845785,0.29078401797425085,5.617368382774121,2.985757606400422e-08
fe_date_2019-04-30,1.5235882683288364,0.2937486962307343,5.1867064871398965,2.943450862291694e-07,1.5235882683288364,0.2937486962307343,5.1867064871398965,2.943450862291694e-07
fe_date_2019-05-31,1.5944018470928072,0.2913295599296144,5.472846104178432,6.54682695768116e-08,1.5944018470928072,0.2913295599296144,5.472846104178432,6.54682695768116e-08
fe_date_2019-06-30,1.4975957772298378,0.29274816473509135,5.115645314412189,4.2301964273388455e-07,1.4975957772298378,0.29274816473509135,5.115645314412189,4.2301964273388455e-07
fe_date_2019-07-31,2.1464362509091917,0.2977352901696154,7.209210066050277,1.7243860222769533e-12,2.1464362509091917,0.2977352901696154,7.209210066050277,1.7243860222769533e-12
fe_date_2019-08-31,2.32949502823184,0.29715842203245046,7.839236096015657,2.1174033716038567e-14,2.32949502823184,0.29715842203245046,7.839236096015657,2.1174033716038567e-14
fe_date_2019-09-30,2.3812150274635537,0.29925439842773055,7.95715966072463,8.99905299703624e-15,2.3812150274635537,0.29925439842773055,7.95715966072463,8.99905299703624e-15
fe_date_2019-10-31,2.5662435437288074,0.2964100246442999,8.657748828867613,4.5602140021039057e-17,2.5662435437288074,0.2964100246442999,8.657748828867613,4.5602140021039057e-17
fe_date_2019-11-30,2.587225078924566,0.3008375247393626,8.600074346330523,7.136380202502863e-17,2.587225078924566,0.3008375247393626,8.600074346330523,7.136380202502863e-17
fe_date_2019-12-31,3.0245127605449014,0.2997235867892309,10.091006827139614,3.347679861030956e-22,3.0245127605449014,0.2997235867892309,10.091006827139614,3.347679861030956e-22
fe_date_2020-01-31,2.823282918054017,0.29890921161480544,9.445285753495913,8.08532823588541e-20,2.823282918054017,0.29890921161480544,9.445285753495913,8.08532823588541e-20
fe_date_2020-02-29,2.8154170241825933,0.30002376567554295,9.383980025193377,1.3431257589193438e-19,2.8154170241825933,0.30002376567554295,9.383980025193377,1.3431257589193438e-19
fe_date_2020-03-31,3.039383686256967,0.30852407702824425,9.851366271095667,2.6423418830686954e-21,3.039383686256967,0.30852407702824425,9.851366271095667,2.6423418830686954e-21
fe_date_2020-04-30,2.96907335283245,0.3063842004726108,9.690686883502893,1.0354878222423547e-20,2.96907335283245,0.3063842004726108,9.690686883502893,1.0354878222423547e-20
fe_date_2020-05-31,3.4264712031914026,0.30875113622193934,11.097841598640644,3.9592355727822096e-26,3.4264712031914026,0.30875113622193934,11.097841598640644,3.9592355727822096e-26
fe_date_2020-06-30,3.356009755648893,0.3160252015193638,10.619437119299677,3.1225387597976208e-24,3.356009755648893,0.3160252015193638,10.619437119299677,3.1225387597976208e-24
fe_date_2020-07-31,3.2602638876362464,0.31166163987939144,10.460908467586584,1.2909216262302511e-23,3.2602638876362464,0.31166163987939144,10.460908467586584,1.2909216262302511e-23
fe_date_2020-08-31,3.182224378724706,0.31309971770996725,10.163613055928995,1.7781327240120872e-22,3.182224378724706,0.31309971770996725,10.163613055928995,1.7781327240120872e-22
fe_date_2020-09-30,3.7381810482396087,0.30781752101343735,12.144146427832558,1.8524879956903197e-30,3.7381810482396087,0.30781752101343735,12.144146427832558,1.8524879956903197e-30
fe_date_2020-10-31,3.60196509462802,0.3200589648685601,11.25406718761105,9.25845835546588e-27,3.60196509462802,0.3200589648685601,11.25406718761105,9.25845835546588e-27
fe_date_2020-11-30,3.8278499066380802,0.32182379684551593,11.894241333792824,2.106055635975208e-29,3.8278499066380802,0.32182379684551593,11.894241333792824,2.106055635975208e-29
fe_date_2020-12-31,3.6525122986943184,0.32450102222507715,11.255780563183864,9.111428692315727e-27,3.6525122986943184,0.32450102222507715,11.255780563183864,9.111428692315727e-27
fe_firm_id_firm_02,-0.5808854180530048,0.20248527254113755,-2.8687786067749212,0.0042675453798769036,-0.5808854180530048,0.20248527254113755,-2.8687786067749212,0.0042675453798769036
fe_firm_id_firm_03,-0.34680350792460174,0.20743634599342253,-1.671855075655827,0.0950813264953411,-0.34680350792460174,0.20743634599342253,-1.671855075655827,0.0950813264953411
fe_firm_id_firm_04,0.4398056868895014,0.20763709013985707,2.1181460720397483,0.034578754881848785,0.4398056868895014,0.20763709013985707,2.1181460720397483,0.034578754881848785
fe_firm_id_firm_05,-0.15087151270802804,0.2193328495137155,-0.6878655570404816,0.49180686758294606,-0.15087151270802804,0.2193328495137155,-0.6878655570404816,0.49180686758294606
fe_firm_id_firm_06,-0.45031571925373787,0.21951485457501496,-2.051413423139668,0.04066617173583995,-0.45031571925373787,0.21951485457501496,-2.051413423139668,0.04066617173583995
fe_firm_id_firm_07,0.11255823857889782,0.2267945522433942,0.49630045107124604,0.6198666655769832,0.11255823857889782,0.2267945522433942,0.49630045107124604,0.6198666655769832
fe_firm_id_firm_08,-0.6456518281071423,0.23733402212345328,-2.7204352006948906,0.006711174468895201,-0.6456518281071423,0.23733402212345328,-2.7204352006948906,0.006711174468895201
fe_firm_id_firm_09,0.581104227998063,0.24454667344319064,2.3762507983289183,0.01780668659542903,0.581104227998063,0.24454667344319064,2.3762507983289183,0.01780668659542903
fe_firm_id_firm_10,-1.0545277458187203,0.25317769995473816,-4.165168362013098,3.574568033647151e-05,-1.0545277458187203,0.25317769995473816,-4.165168362013098,3.574568033647151e-05
fe_firm_id_firm_11,-1.0827539237227013,0.2611190940210856,-4.146590381610577,3.8682327922785395e-05,-1.0827539237227013,0.2611190940210856,-4.146590381610577,3.8682327922785395e-05
fe_firm_id_firm_12,0.23507631279248645,0.2828870651212995,0.830989966585032,0.40631431814184776,0.23507631279248645,0.2828870651212995,0.830989966585032,0.40631431814184776
fe_firm_id_firm_13,-0.055704876371439345,0.29790120724674907,-0.18699110650229578,0.851731670577979,-0.055704876371439345,0.29790120724674907,-0.18699110650229578,0.851731670577979
fe_firm_id_firm_14,-0.8718987785380745,0.3019964931030787,-2.887115574022492,0.004029841309904365,-0.8718987785380745,0.3019964931030787,-2.887115574022492,0.004029841309904365
fe_firm_id_firm_15,-1.0014708419397436,0.32122085255546434,-3.1177018365170497,0.0019111196338697047,-1.0014708419397436,0.32122085255546434,-3.1177018365170497,0.0019111196338697047
fe_firm_id_firm_16,-1.0898152219097914,0.3347477521299926,-3.255631187887958,0.0011960004532939725,-1.0898152219097914,0.3347477521299926,-3.255631187887958,0.0011960004532939725
fe_firm_id_firm_17,0.24581800892163086,0.3456024949614973,0.7112738261597816,0.4771947214290757,0.24581800892163086,0.3456024949614973,0.7112738261597816,0.4771947214290757
fe_firm_id_firm_18,0.13613721123966913,0.35580118087136114,0.38262158350983416,0.7021376960700452,0.13613721123966913,0.35580118087136114,0.38262158350983416,0.7021376960700452
leverage,-1.376992874154726,1.175966176550868,-1.1709459860431302,0.24209159324464202,-1.376992874154726,1.175966176550868,-1.1709459860431302,0.24209159324464202
size,0.5399216282951804,0.1430496914738236,3.774364157884113,0.00017657525098862693,0.5399216282951804,0.1430496914738236,3.774364157884113,0.00017657525098862693
